经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18286,日照市佰世达汽车销售服务有限公司,中区,中区,,,16944.4,0.0,16944.4,,16944.4,,
A22775,商丘市耀辉汽车销售有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18342,衡阳驭马汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18067,呼伦贝尔市恒润汽车贸易有限公司,北区,北区,,,14620.789999999999,1513.28,16134.07,,16134.07,,
M18378,鞍山北方马自达汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18518,宁波宏亚汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18368,新疆华达汽车销售服务有限责任公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18267,阜新鑫鑫汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18291,聊城金源汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M23003,湖州长马汽车销售服务有限公司,东区,东区,,,95791.29000000002,28856.300000000003,124647.59000000003,,124647.59000000003,,
M23001,佳木斯嘉达汽车销售服务有限公司,北区,北区,,,24059.26,1380.54,25439.8,,25439.8,,
M23002,重庆瀚达汽车销售服务有限公司,西区,西二区,,,123369.73000000004,18472.78,141842.51000000004,,141842.51000000004,,
M18947,南通正马汽车销售服务有限公司,东区,东区,,,37692.869999999995,13449.0,51141.869999999995,,51141.869999999995,,
M18927,徐州正马汽车销售服务有限公司,东区,东区,,,82381.60999999997,17900.760000000002,100282.36999999997,,100282.36999999997,,
M18896,阿克苏笑好,西区,西二区,,,37342.23999999999,3805.7300000000005,41147.969999999994,,41147.969999999994,,
M18912,西藏鼎恒实业有限公司,西区,西区,,,2087.6,0.0,2087.6,,2087.6,,
M18919,唐山丰玮汽车贸易有限公司,北区,北区,,,31200.29000000001,819.4499999999999,32019.740000000013,,32019.740000000013,,
M18917,河北桐响汽车贸易有限公司,北区,北区,,,51759.879999999976,7503.84,59263.71999999997,,59263.71999999997,,
M18952,吉林市铭航汽车销售服务有限公司,北区,北区,,,60493.490000000005,7089.3,67582.79000000001,,67582.79000000001,,
M18913,乌鲁木齐笑好景星汽车销售有限公司,西区,西区,,,56252.96000000003,1415.93,57668.89000000003,,57668.89000000003,,
M18935,福州龙驭汽车销售服务有限公司,南区,南二区,,,53983.18999999999,14901.400000000001,68884.59,,68884.59,,
M18920,漳州凯鑫汽车贸易有限公司,南区,南二区,,,24075.040000000005,0.0,24075.040000000005,,24075.040000000005,,
M18910,喀什兴鹏汽车销售服务有限公司,西区,西区,,,0.0,0.0,0.0,,0.0,,
