经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
M18069,中国长安汽车集团天津销售有限公司,北区,北区,鲁金泽,,399000.0,399000,460000.0,1258000,1258000,398900,398900,460200,
M18038,北京仁正利成汽车销售服务有限公司,北区,北区,祁玮,,496000.0,496000,572000.0,1564000,1564000,496000,496000,572000,
M18209,张家口耀祥汽车销售有限公司,北区,北区,鲁金泽,,152000.0,152000,175000.0,479000,479000,151900,151900,175200,
M18206,大连华为汽车销售服务有限公司,北区,北区,唐宏宇,,64000.0,64000,74000.0,202000,202000,64100,64100,73800,
A18055,吉林省瑞祥汽车销售服务有限公司,北区,北区,唐宏宇,,355000.0,355000,409000.0,1119000,1119000,354900,354900,409200,
M18095,内蒙古鸿达汽车销售服务有限公司,北区,北区,邵传海,,180000.0,180000,208000.0,568000,568000,180100,180100,207800,
M18099,山西马博士汽车销售有限公司,北区,北区,鲁金泽,,317000.0,317000,366000.0,1000000,1000000,317100,317100,365800,
M23001,佳木斯嘉达汽车销售服务有限公司,北区,北区,邵传海,,53000.0,53000,61000.0,167000,167000,53000,53000,61000,
M18917,河北桐响汽车贸易有限公司,北区,北区,祁玮,,104000.0,104000,120000.0,328000,328000,104000,104000,120000,
M18067,呼伦贝尔市恒润汽车贸易有限公司,北区,北区,邵传海,,57000.0,57000,66000.0,180000,180000,57100,57100,65800,
M18919,唐山丰玮汽车贸易有限公司,北区,北区,祁玮,,49000.0,49000,56000.0,154000,154000,48900,48900,56200,
M18267,阜新鑫鑫汽车销售服务有限公司,北区,北区,唐宏宇,,22000.0,22000,25000.0,69000,69000,21900,21900,25200,
M18382,哈尔滨乾丰,北区,北区,邵传海,,79000.0,79000,91000.0,249000,249000,79000,79000,91000,
A13302,合肥建银海康达汽车销售有限公司,中区,中区,倪超,,654000.0,654000,755000.0,2063000,2063000,654200,654200,754600,
A17997,武汉银马汽车销售有限公司,中区,中区,张哲,,674000.0,674000,778000.0,2126000,2126000,674100,674100,777800,
A32359,马鞍山中冠汽车销售服务有限公司,中区,中区,倪超,,179000.0,179000,206000.0,564000,564000,178900,178900,206200,
M18195,青岛海昌汽车销售有限公司,中区,中区,李伟,,143000.0,143000,165000.0,451000,451000,143000,143000,165000,
A30536,河南鑫马汽车销售服务有限公司,中区,中区,倪超,,270000.0,270000,311000.0,851000,851000,269900,269900,311200,
M18323,新乡市弘森汽车销售服务有限公司,中区,中区,倪超,无,199000.0,199000,229000.0,627000,125400,39800,39800,45800,
A27235,威海金驰汽车销售服务有限公司,中区,中区,李伟,,151000.0,151000,174000.0,476000,476000,151000,151000,174000,
M18270,山东惠骋汽车贸易有限公司,中区,中区,李伟,,547000.0,547000,632000.0,1726000,1726000,547300,547300,631400,
A13261,潍坊东裕车业发展有限公司,中区,中区,李伟,,365000.0,365000,421000.0,1151000,1151000,365000,365000,421000,
M18328,焦作双达汽车销售服务有限公司,中区,中区,倪超,,199000.0,199000,229000.0,627000,627000,198900,198900,229200,
A13275,烟台泓和汽车销售服务有限公司,中区,中区,李伟,,337000.0,337000,389000.0,1063000,1063000,337100,337100,388800,
